gaokao_rank,word,phonetic,translation,priority,local_corpus_count,local_corpus_rank,frq_rank,bnc_rank,collins,oxford,tags,exchange,definition
68,check,tʃek,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军；vt. 检查, 阻止, 核对, 寄存, 托运；vi. 逐项相符, 开支票；[计] 复选",A,26,87,854,997,4,1,zk gk toefl ielts gre,i:checking/d:checked/p:checked/s:checks/3:checks,n. a written order directing a bank to pay money n. the bill in a restaurant n. the act of inspecting or verifying n. a mark left after a small piece has been chopped or broken off of something
69,call,kɒ:l,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求；vt. 呼叫, 召集, 打电话；vi. 叫喊, 访问, 叫牌；[计] 调用; 呼叫; DOS内部命令:在批处理文件中调用另一个批处理文件",A,25,92,122,161,5,1,zk gk ielts,d:called/p:called/i:calling/s:calls/3:calls,"n. a telephone connection n. a special disposition (as if from a divine source) to pursue a particular course n. a demand especially in the phrase ""the call of duty"" n. a brief social visit"
70,name,neim,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名；vt. 命名, 称呼, 任命, 提名, 列举；a. 姓名的, 据以取名的；[计] 名称, 文件名, 姓名",A,25,89,298,271,5,1,zk gk,s:names/d:named/p:named/i:naming/3:names,n. a language unit by which a person or thing is known n. a person's reputation n. family based on male descent n. a well-known or notable person
71,fine,fain,"n. 罚款, 罚金, 晴天, 精细；a. 好的, 晴朗的, 健康的, 细小的, 精细的；vt. 罚款, 精炼, 澄清；vi. 变清, 变细；adv. 很好；[计] 精细",A,25,90,704,660,3,1,zk gk toefl ielts,t:finest/d:fined/s:fines/r:finer/p:fined/3:fines/i:fining,n. money extracted as a penalty s. minutely precise especially in differences in meaning s. thin in thickness or diameter s. characterized by elegance or refinement or accomplishment
72,by,bai,"prep. 被, 经, 由, 在...之旁；adv. 经过, 在近处",A,24,96,30,20,5,1,zk gk,,r. so as to pass a given point
73,big,big,"a. 大的, 重要的；adv. 大量地",A,24,93,162,260,5,1,zk gk,t:biggest/r:bigger,s. significant s. loud and firm s. conspicuous in position or importance s. prodigious
74,thinking,'θiŋkiŋ,"n. 思考, 思想；a. 思考的, 有理性的",A,24,97,1695,2075,4,1,gk ielts,0:think/1:i/i:thinking,n. the process of using your mind to consider something carefully
75,only,'әunli,"a. 唯一的, 仅有的, 最佳的；adv. 只有, 仅仅, 只能；conj. 但是, 不过",A,23,98,101,70,5,1,zk gk,,"r. with nevertheless the final result r. in the final outcome r. except that; only this time she came out better"" r. never except when"
76,nothing,'nʌθiŋ,"n. 无, 不关紧要之事, 零；adv. 毫不, 决不；interj. 什么也没有, 无",A,23,100,315,258,5,1,zk gk ielts,,n. a quantity of no importance r. in no respect; to no degree
77,give,giv,"n. 弹性, 适应性；vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出；vi. 捐赠, 支持不住, 让步",A,22,101,98,71,5,1,zk gk ielts,d:given/p:gave/i:giving/3:gives,"n. the elasticity of something that can be stretched and returns to its original length v. cause to have, in the abstract sense or physical sense v. transfer possession of something concrete or abstract to somebody v. convey or reveal information"
78,wait,weit,"n. 等待, 等候；vt. 等候, 期待, 延缓, 伺候, 推迟；vi. 等, 等候, 耽搁, 伺候用餐；[计] 等待",A,21,105,400,463,5,1,zk gk,i:waiting/p:waited/d:waited/3:waits/s:waits,n. the act of waiting (remaining inactive in one place while expecting something) v. stay in one place and anticipate or expect something v. wait before acting v. serve as a waiter or waitress in a restaurant
79,day,dei,"n. 天, 日子, 白天, 工作日；[医] 日(一昼夜), 昼, 白天",A,20,107,90,95,5,1,zk gk ielts,s:days,n. time for Earth to make a complete rotation on its axis n. some point or period in time n. a day assigned to a particular purpose or observance n. the time after sunrise and before sunset while it is light outside
80,school,sku:l,"n. 学校, 鱼群, 门派, 学派；vt. 教育, 训练, 培养；vi. 成群地游",A,20,109,125,165,5,1,zk gk ielts gre,s:schools/i:schooling/d:schooled/p:schooled/3:schools,n. an educational institution n. a building where young people receive education n. the process of being formally educated at a school n. a body of creative artists or writers or thinkers linked by a similar style or by similar teachers
81,last,lɑ:st,"a. 最后的, 末尾的, 最近的；vi. 持续, 支持, 维持；vt. 使维持, 够...用；adv. 最后, 后来；n. 最后, 末尾, 鞋楦头",A,20,108,130,119,2,1,gk,p:lasted/3:lasts/i:lasting/d:lasted,"n. the last or lowest in an ordering or series n. a person's dying act; the final thing a person can do n. a unit of weight equal to 4,000 pounds n. a unit of capacity for grain equal to 80 bushels"
82,enough,i'nʌf,"n. 充足, 够, 很多；a. 充足的, 足够；adv. 足够；interj. 够了",A,20,106,374,378,5,1,zk gk,,"n. an adequate quantity; a quantity that is large enough to achieve a purpose r. as much as necessary; (`plenty' is nonstandard) ""I've had plenty, thanks"""
83,next,'nekst,"n. 下一个；a. 下一个的, 其次的, 贴近的；adv. 然后, 下次, 次于；[计] 近邻干扰",A,19,112,217,199,5,1,zk gk,,r. at the time or occasion immediately following
84,ever,'evә,"adv. 曾经, 究竟, 永远",A,19,115,280,355,5,1,zk gk,,r. at any time r. (intensifier for adjectives) very
85,better,'betә,a. 较好的；adv. 比较好,A,19,113,452,704,5,1,gk ielts,0:good/1:r/d:bettered/s:betters/i:bettering/p:bettered/3:betters,n. something superior in quality or condition or effect n. a superior person having claim to precedence n. the superior one of two alternatives v. surpass in excellence
86,chemistry,'kemistri,"n. 化学, 化学过程；[化] 化学",A,19,114,4736,3555,2,1,zk gk cet4 cet6 ky ielts,,n. the science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions n. the chemical composition and properties of a substance or object n. the way two individuals relate to each other
87,never,'nevә,"adv. 从不, 决不, 不曾；[法] 永不, 决不, 从来没有",A,18,121,138,157,5,1,zk gk,,r. not ever; at no time in the past or future r. not at all; certainly not; not in any circumstances
88,around,ә'raund,"prep. 包围, 在...周围, 四处；adv. 兜着圈子, 在附近, 到处",A,18,118,264,397,5,1,zk gk,,r. by a circular or circuitous route r. in a circle or circular motion r. to a particular destination either specified or understood r. in circumference
89,whatever,hwɒt'evә,pron. 无论什么,A,18,123,776,759,4,1,zk gk cet4 cet6 ky ielts,,s one or some or every or all without specification
90,hello,hә'lәu,"interj. 喂, 嘿",A,18,124,2238,2319,3,1,zk gk,s:hellos,n. an expression of greeting
91,into,'intu:,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况",A,17,127,65,57,5,1,zk gk,,"prep. To the inside of; within. It is used in a variety of    applications. prep. Expressing entrance, or a passing from the outside of a    thing to its interior parts; -- following verbs expressing motion; as,    come into the house; go into the church; one stream falls or runs into    another; water enters into the fine vessels of plants. prep. Expressing penetration beyond the outside or surface, or    access to the inside, or contents; as, to look into a letter or book;    to look into an apartment. prep. Indicating insertion; as, to infuse more spirit or    animation into a composition. prep. Denoting inclusion; as, put these ideas into other words. prep. Indicating the passing of a thing from one form,    condition, or state to another; as, compound substances may be resolved    into others which are more simple; ice is convertible into water, and    water into vapor; men are more easily drawn than forced into    compliance; we may reduce many distinct substances into one mass; men    are led by evidence into belief of truth, and are often enticed into    the commission of crimes'into; she burst into tears; children are    sometimes frightened into fits; all persons are liable to be seduced    into error and folly."
92,new,nju:,"a. 新的, 陌生的, 最近的, 不熟悉的；[法] 新发现的, 新的, 重新开始的",A,17,125,88,81,5,1,zk gk,r:newer/t:newest,a. not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered s. having no previous example or precedent or parallel s. other than the former one(s); different a. unaffected by use or exposure
93,find,faind,"vt. 发现, 感到, 找到, 认为, 得到；vi. 裁决；n. 发现；[计] 查找; DOS外部命令:在指定的文件或从键盘输入的文本行中；寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上",A,17,131,95,92,5,1,zk gk,d:found/p:found/i:finding/3:finds/s:finds,"v. come upon, as if by accident; meet with v. come upon after searching; find the location of something that was missed or lost v. come to believe on the basis of emotion, intuitions, or indefinite grounds v. obtain through effort or management"
94,after,'ɑ:ftә,"prep. 在...之后, 由于；conj. 在...之后；adv. 后来",A,17,130,120,96,5,1,zk gk,,s. located farther aft r. behind or in the rear
95,old,әuld,"n. 以前, 往昔；a. 老的, 旧的, 古老的, 年长的, 老练的",A,17,126,152,126,5,1,zk gk,r:older/t:oldest/s:olds,n. past times (especially in the phrase `in days of old') a. (used especially of persons) having lived for a relatively long time or attained a specific age a. of long duration; not new s. (used for emphasis) very familiar
96,start,stɑ:t,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件；vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛；vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用；[计] 起始",A,17,133,173,205,5,1,zk gk,p:started/d:started/3:starts/i:starting/s:starts,n. the beginning of anything n. a turn to be a starter (in a game at the beginning) n. a line indicating the location of the start of a race or a game n. the advantage gained by beginning early (as in a race)
97,remember,ri'membә,"vt. 记得, 回忆起, 记住, 铭记, 纪念；vi. 记得",A,17,132,379,346,5,1,zk gk,p:remembered/d:remembered/i:remembering/3:remembers,v. recall knowledge from memory; have a recollection v. keep in mind for attention or consideration v. recapture the past; indulge in memories v. show appreciation to
98,baby,'beibi,n. 婴孩；[医] 婴儿,A,17,128,588,869,4,1,zk gk,s:babies/i:babying/p:babied/3:babies/d:babied,n. a very young child (birth to 1 year) who has not yet begun to walk or talk n. the youngest member of a group (not necessarily young) n. an unborn child; a human fetus n. (slang) sometimes used as a term of address for attractive young women
99,left,left,"a. 左边的, 左倾的, 左侧的, 左派的；adv. 在左面；n. 左, 左面, 左派；leave的过去式和过去分词",A,17,134,771,1045,3,1,zk gk,0:leave/1:dp/d:left/p:left,n. location near or direction toward the left side; i.e. the side to the north when a person or object faces east n. those who support varying degrees of social or political or economic change designed to promote the public welfare n. the hand that is on the left side of the body n. a turn toward the side of the body that is on the north when the person is facing east
100,pretty,'priti,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的；adv. 相当, 颇",A,17,129,797,1782,4,1,zk gk cet4 cet6 ky,t:prettiest/r:prettier,s. pleasing by delicacy or grace; not imposing s. (used ironically) unexpectedly bad
101,life,laif,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑；[医] 生活, 生存, 生命, 寿命",A,16,136,114,128,5,1,zk gk,s:lives,n. a characteristic state or mode of living n. the experience of being alive; the course of human events and activities n. the course of existence of an individual; the actions and events that occur in living n. the period during which something is functional (as between birth and death)
102,feel,fi:l,"vt. 感觉, 觉得, 触摸, 以为；vi. 有知觉, 摸索, 同情；n. 感觉, 觉得, 触摸",A,16,138,134,135,5,1,zk gk ielts,p:felt/i:feeling/d:felt/3:feels,"n. an intuitive awareness;  n. manual stimulation of the genital area for sexual pleasure v. undergo an emotional sensation or be in a particular state of mind v. perceive by a physical sensation, e.g., coming from the skin or muscles"
